AAPL,JNJ,JPM,MSFT,PG
0.010269475590720445,-0.003179689080779813,-0.010306462418915086,0.0037399835028504302,-0.01250224886875606
0.008758282212864454,-0.0006379217876248955,0.00208286220767806,-0.0022351946272612944,0.010458606181255048
0.0007751075379978101,0.002872814899307574,0.005715771182605467,-0.0011205154640564485,0.004902793595798816
0.07281169046091374,-0.0036599331307707317,-0.008008400499372126,-0.0029903902913205327,0.010480706132079076
-0.00418755907498658,0.007825604885608684,-0.0033851107069015063,0.004873998284147918,0.007868532498618963
-0.06380544668780097,-0.0034864400904964787,-0.009668660413840069,-0.0026116195271810305,-0.0010642339093082098
0.01394137764921588,0.006997831208885197,0.002375157744505252,0.0018706385638296297,0.003729640448761451
0.06629986569215585,-0.0213200935223814,-0.005790822674824558,-0.019044514194422102,-0.017342461596804748
0.005729791461445588,0.011779492127617308,0.0010591213992161563,-0.005710079489825048,0.006303338005128056
0.006410566666844142,0.005263467491501306,0.015603798112267642,0.007657303985576069,0.001968448804116285
-0.010898690316836657,-0.0033314984472918585,-0.014583140722057686,-0.012918137436523813,0.01686374701725213
0.00829927066394287,-0.005253298990371191,-0.015592486644693593,-0.0046186911988505,0.00035325673168085103
0.00042653954576077346,-0.010242386453240049,-0.010737466612183,-0.008120831412424145,-0.018518397995656577
0.0038298818152746605,-0.005819974715207232,0.0008138568923494738,0.000779739538647739,-0.007906951413763408
0.01823082269734666,0.036266634192158254,-0.0005420699555068742,0.013634756271785786,0.009418700505251731
0.002776756834601102,0.01459441682516549,-0.0008143575841446093,-0.0003846991075983075,-0.005203835327859951
0.00539716568955062,-0.006651301579083113,-0.0021720362851455066,0.003844417187549354,-0.0021642352301083356
0.01844668563999141,0.006228774687495386,0.006803191200680292,0.002682125174202632,-0.021149407766059003
0.0394700385787099,0.001238151541576471,0.008918467376277217,0.0038190259957286976,-0.016990283604464307
0.008193124339904712,0.011128396158163412,0.00455374411836984,0.004185706485015039,-0.006762846548786339
