VaR,ES
-0.012441437583000139,-0.018022059316052223
-0.012441437583000139,-0.018022059316052223
-0.01169846342102466,-0.016652466116736354
-0.01169846342102466,-0.016652466116736354
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01134658939714597,-0.01647499587994183
-0.01133183857881973,-0.01647499587994183
-0.01133183857881973,-0.01647499587994183
-0.0108667136943706,-0.014336221333441545
-0.0108667136943706,-0.014336221333441545
-0.0108667136943706,-0.014336221333441545
-0.0108667136943706,-0.014336221333441545
-0.0108667136943706,-0.014336221333441545
-0.0108667136943706,-0.014336221333441545
-0.0108667136943706,-0.014336221333441545
-0.01036493871980843,-0.014140232338137559
-0.01036493871980843,-0.014140232338137559
-0.01055027556462632,-0.01416533000432046
-0.01055027556462632,-0.01416533000432046
-0.01055027556462632,-0.01416533000432046
-0.01055027556462632,-0.01416533000432046
-0.01055027556462632,-0.01416533000432046
-0.01055027556462632,-0.01416533000432046
-0.01055027556462632,-0.01416533000432046
-0.01055027556462632,-0.01416533000432046
-0.01055027556462632,-0.01416533000432046
-0.01055027556462632,-0.01416533000432046
-0.01055027556462632,-0.01416533000432046
-0.010915026701772683,-0.01715271245333998
-0.010915026701772683,-0.01715271245333998
-0.01133183857881973,-0.017936552372824138
-0.01133183857881973,-0.017936552372824138
-0.01133183857881973,-0.017936552372824138
-0.01133183857881973,-0.017936552372824138
-0.01133183857881973,-0.017936552372824138
-0.01133183857881973,-0.017936552372824138
-0.01133183857881973,-0.017936552372824138
-0.01133183857881973,-0.017936552372824138
-0.01133183857881973,-0.017936552372824138
-0.01133183857881973,-0.017936552372824138
-0.01133183857881973,-0.017936552372824138
-0.01133183857881973,-0.017936552372824138
-0.01133183857881973,-0.017936552372824138
-0.01133183857881973,-0.017936552372824138
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
-0.012973220019995015,-0.01826317753543974
